100,Abs(Thenumber as Float)
101,Acos(Theangle as Float)
102,Acosh(Theangle as Float)
103,"Adddays(Thedate as Date, Days as Integer)"
104,"Addmonths(Thedate as Date, Months as Integer)"
105,"Addyears(Thedate as Date, Years as Integer)"
106,"Alert(Title as String, Msg as String, Type as Integer, Button0 as String, Button1 as String, ..., Buttonn as String)"
107,"Applaunch( 0, Pgm as String, Cmd as Integer, Data as String)"
108,asc(Thestring as String)
109,asin(Theangle as Float)
110,asinh(Theangle as Float)
111,Atan(Theangle as Float)
112,"Atan2(X as Float, Y as Float)"
113,Atanh(Theangle as Float)
114,Ceiling(Thenumber as Float)
115,Chr(X as Integer)
116,Cos(Theangle as Float)
117,Cosh(Theangle as Float)
118,"Dateval(Year as Integer, Month as Integer, Day as Integer)"
119,"Datediff(Date1 as Date, Date2 as Date)"
120,Datemmddyy(Thedate)
121,Day(Thedate as Date)
122,Dayofweek(Thedate as Date)
123,Dayofyear(Thedate as Date)
124,Dbclose(Dbname as Database)
125,"Dbcreate(Dbname as Database, Filename as Str, 0, Creator as Str)"
126,"Dbcreatedatabasefromresource(Type as String, Id as Int)"
127,"Dbdelete(Dbname as Database, Dbkey as Anyvartype)"
128,Dberase(Dbname as Database)
129,"Dbfind(Dbname as Database, Dbkey as Anyvartype)"
130,"Dbget(Dbname as Database, Avariable as Vartype)"
131,Dbgetnorecs(Dbname as Database)
132,"Dbinsert(Dbname as Database, Dbkey as Anyvartype, Varlist)"
133,"Dbopen(Dbname as Database, Filename as String, 0)"
134,"Dbposition(Dbname as Database, Recno as Double, Offset as Int) "
135,"Dbput(Dbname as Database, Avariable as Vartype)"
136,"Dbread(Dbname as Database, Dbkey as Anyvartype, Varllist)"
137,"Dbreadnext(Dbname as Database, Dbkey as Anyvartype, Varlist)"
138,"Dbreadprev(Dbname as Database, Dbkey as Anyvartype, Varlist)"
139,Dbreset(Dbname as Database)
140,"Dbupdate(Dbname as Database, Dbkey as Anyvartype, Varlist)"
141,Exp(Thenumber as Float)
142,Firstofmonth(Thedate as Date)
143,Floor(Thenumber as Float)
144,"Format( Numvar as Anynumtype,  Fmtstring as String)"
145,Geteventtype() 
146,Getkey()
147,"Getpen Currentxpos, Currentypos, Penstatus"
148,Getversion(Prcname as String)
149,Hour(Thetime as Time)
150,Hourmin(Thetime as Time)
151,Hourminampm(Thetime as Time)
152,"Instr(Start as Integer, S as String, Pattern as String, Type as Integer)"
153,Int(Thenumber as Float)
154,Lastofmonth(Thedate)
155,Lcase(Thestring)
156,"Left(Thestring as String, Num as Integer)"
157,"Leftpad(Thestring as String, Num as Integer)"
158,Len(Thestring as String)
159,Log(Thenumber as Float)
160,Log10(Thenumber as Float)
161,Ltrim(Thestring as String) as String
162,"Mid(Thestring as String, Start as Integer, Num as Integer)"
163,Minute(Thetime as Time)
164,Mmddyytodate(Thestring as String)
165,"Mod(Thenumber as Integer, Thedivisor as Integer)"
166,Month(Thedate as Date)
167,Monthday(Thedate)
168,"Nooccurs(Thevariable, Thesubscriptlevel as Integer) "
169,Now() 
170,"Popupdate(Dateval as Date, Title as String) "
171,"Popuptime(Starttime as Time, Endtime as Time, Title as String)"
172,"Pow(Thenumber as Float, Pow as Float)"
173,"Power10(Thenumber as Float, Pow as Integer)"
174,Proper(Thestring as String)
175,Radtodegrees(Theangleindegrees as Float)
176,Rand()
177,"Rem(A as Double, B as Double) "
178,"Right(Thestring as String, Num as Integer)"
179,"Rightpad(Thestring as String, Num as Integer)"
180,"Round(Thenumber as Float, Pos as Integer)"
181,Rtrim(Thestring as String) as String
182,Second(Thetime as Time)
183,Serialclose()
184,"Serialdial(Phoneno as String, Modemsetup as String)"
185,Serialhangup()
186,"Serialopen(Port as Integer, Baudrate as Integer)"
187,"Serialreceive(Buffer as String Or Integer Arrray, Nochars as Integer, Timeout as Double)"
188,"Serialsend(Buffer as String Or Integer Array, Nochars as Integer)"
189,"Serialset(Characteristic as String, Value as Integer)"
190,Sign(Thenumber as Float)
191,Sin(Theangle as Float)
192,Sinh(Theangle as Float)
193,Sqrt(Thenumber as Float) 
194,Str(Thenumber as Float)
195,"Subtractdays(Thedate as Date, Days as Integer)"
196,"Subtractmonths(Thedate as Date, Months as Integer)"
197,"Subtractyears(Thedate as Date, Years as Integer)"
198,Syseventavailable()
199,Sysinfo(Arg as Integer)
200,"Sysinfoset(Characteristic as String, Value as Integer)"
201,"Systrapfunc(Trapnum, Numargs[, Arg1[, Arg2[, ...]]]))"
202,"Systrapsub(Trapnum, Numargs[, Arg1[, Arg2[, ...]]]))"
203,Tan(Theangle as Float)
204,Tanh(Theangle as Float)
205,"Testnum(Thestring as String, Signoption as String, Nodigitsbeforedecpt as Integer, Nodigitsafterdecpt as Integer"
206,"Timediff(Time1 as Time, Time2 as Time)"
207,"Timeval(Hour as Integer, Minute as Integer, Second as Integer)"
208,Todate(Thestring as String)
209,Today()
210,Totime(Thetime as String)
211,Trim(Thestring as String) as String
212,"Trunc(Thenumber as Float, Nodgts as Integer))"
213,Ucase(Thestring)
214,Val(Thestring as String)
215,Year(Thedate as Date) 
216,Yearmonth(Thedate)
, 
